customer_id,signup_date,region,currency_preference,segment,acquisition_channel,age_band,country,country_latitude,country_longitude
CUST0000001,7/28/2025 15:21,EU,GBP,Consumer,Affiliate,55+,United Kingdom,55.3781,-3.436
CUST0000002,9/1/2024 0:03,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000003,6/3/2024 2:38,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000004,2/18/2025 5:22,APAC,AUD,Consumer,Email,55+,Australia,-25.2744,133.7751
CUST0000005,11/5/2024 10:37,,USD,Consumer,Paid Search,35-44,United States,39.8283,-98.5795
CUST0000006,7/11/2025 4:23,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000007,10/31/2024 10:04,EU,EUR,Consumer,Email,35-44,Netherlands,52.1326,5.2913
CUST0000008,12/4/2024 2:05,APAC,AUD,Consumer,Paid Search,18-24,Australia,-25.2744,133.7751
CUST0000009,10/4/2024 13:30,,USD,Consumer,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000010,1/1/2025 2:48,EU,EUR,SMB,Organic,25-34,Spain,40.4637,-3.7492
CUST0000011,4/21/2024 10:35,,USD,Consumer,Paid Search,45-54,United States,39.8283,-98.5795
CUST0000012,9/2/2024 22:41,EU,GBP,Consumer,Paid Search,45-54,United Kingdom,55.3781,-3.436
CUST0000013,5/25/2025 4:48,,USD,Consumer,Social,35-44,United States,39.8283,-98.5795
CUST0000014,9/3/2024 12:54,,USD,SOHO,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000015,4/19/2025 1:34,APAC,AUD,Consumer,Retail Media,25-34,Australia,-25.2744,133.7751
CUST0000016,2/27/2024 15:45,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000017,6/10/2024 11:56,EU,EUR,Consumer,Affiliate,35-44,Netherlands,52.1326,5.2913
CUST0000018,8/2/2024 15:08,EU,EUR,SOHO,Organic,25-34,France,46.2276,2.2137
